country,points,price,province,title,variety,winery
US,92,24,California,Pence Ranch 2013 Pinot Noir (Santa Barbara County),Pinot Noir,Pence Ranch
US,89,24,Oregon,Franchere 2015 Pinot Noir (Eola-Amity Hills),Pinot Noir,Franchere
US,85,24,California,Stephen Ross 2007 Pinot Noir (Central Coast),Pinot Noir,Stephen Ross
US,84,24,California,Mia's Playground 2006 Pinot Noir (Russian River Valley),Pinot Noir,Mia's Playground
US,89,24,Oregon,Atticus 2005 Pinot Noir (Willamette Valley),Pinot Noir,Atticus
US,91,24,Oregon,Longplay 2008 Lia's Vineyard Pinot Noir (Chehalem Mountains),Pinot Noir,Longplay
US,87,24,California,Bravium 2014 Muns Vineyard Rosé of Pinot Noir (Santa Cruz Mountains),Pinot Noir,Bravium
US,86,24,California,Three Saints 2009 Pinot Noir (Santa Maria Valley),Pinot Noir,Three Saints
US,86,24,California,San Simeon 2010 Pinot Noir (Monterey),Pinot Noir,San Simeon
France,85,24,Burgundy,Manuel Olivier 2012  Bourgogne Hautes Côtes de Nuits,Pinot Noir,Manuel Olivier
New Zealand,89,24,Awatere Valley,Vavasour 2006 Pinot Noir (Awatere Valley),Pinot Noir,Vavasour
US,88,24,Oregon,Provincial Vineyards 2015 Cuvée Duo Estate Pinot Noir (Willamette Valley),Pinot Noir,Provincial Vineyards
New Zealand,87,24,Central Otago,Mt. Difficulty 2007 Roaring Meg Pinot Noir (Central Otago),Pinot Noir,Mt. Difficulty
US,86,24,California,Fort Ross 2012 Rosé Pinot Noir (Fort Ross-Seaview),Pinot Noir,Fort Ross
New Zealand,88,24,Martinborough,Alana Estate 2012 Lumiere Pinot Noir (Martinborough),Pinot Noir,Alana Estate
New Zealand,90,24,Marlborough,Huia 2000 Pinot Noir (Marlborough),Pinot Noir,Huia
US,85,24,California,San Simeon 2007 Pinot Noir (Monterey),Pinot Noir,San Simeon
US,85,24,California,San Simeon 2011 Pinot Noir (Monterey),Pinot Noir,San Simeon
US,87,24,California,R2 2009 Black Pine Pinot Noir (California),Pinot Noir,R2
US,86,24,California,Outlier 2012 Pinot Noir (Anderson Valley),Pinot Noir,Outlier
US,92,24,California,Willowbrook 2014 Pinot Noir (Russian River Valley),Pinot Noir,Willowbrook
Chile,87,24,Leyda Valley,Ventisquero 2012 Grey Glacier Single Block Las Terrazas Vineyard Pinot Noir (Leyda Valley),Pinot Noir,Ventisquero
New Zealand,88,24,Marlborough,Foxes Island 2014 Fox By John Belsham Pinot Noir (Marlborough),Pinot Noir,Foxes Island
US,87,24,California,Mahoney 2004 Pinot Noir (Carneros),Pinot Noir,Mahoney
US,90,24,California,Chateau St. Jean 2011 Pinot Noir (Sonoma Coast),Pinot Noir,Chateau St. Jean
US,86,24,Oregon,Cardwell Hill 2012 Estate Bottled Pinot Noir (Willamette Valley),Pinot Noir,Cardwell Hill
US,90,24,California,Owl Ridge 2012 Pinot Noir (Carneros),Pinot Noir,Owl Ridge
US,89,24,Oregon,Oak Knoll 2008 Red Hill Vineyard Pinot Noir (Oregon),Pinot Noir,Oak Knoll
US,89,24,Oregon,Willamette Valley Vineyards 2016 Whole Cluster Pinot Noir (Willamette Valley),Pinot Noir,Willamette Valley Vineyards
France,85,24,Burgundy,Joseph Faiveley 2010  Bourgogne,Pinot Noir,Joseph Faiveley
US,85,24,California,Simi 2012 Pinot Noir (Sonoma County),Pinot Noir,Simi
US,88,24,Oregon,Spindrift Cellars 2006 Pinot Noir (Willamette Valley),Pinot Noir,Spindrift Cellars
US,87,24,California,Piedra Creek 2005 San Floriano Vineyard Pinot Noir (Edna Valley),Pinot Noir,Piedra Creek
France,90,24,Burgundy,Joseph Drouhin 2009  Côte de Beaune-Villages,Pinot Noir,Joseph Drouhin
US,86,24,California,Calera 2007 Pinot Noir (Central Coast),Pinot Noir,Calera
France,88,24,Burgundy,Domaine Michel Goubard 2015 Mont-Avril  (Côte Chalonnaise),Pinot Noir,Domaine Michel Goubard
US,85,24,California,Naughty Boy 2010 Pinot Noir (Potter Valley),Pinot Noir,Naughty Boy
US,85,24,California,Brassfield 2012 High Serenity Ranch Pinot Noir (High Valley),Pinot Noir,Brassfield
France,87,24,Loire Valley,Jean Reverdy et Fils 2013 Les Villots  (Sancerre),Pinot Noir,Jean Reverdy et Fils
US,82,24,Oregon,Lumos 2009 5 Block Pinot Noir (Willamette Valley),Pinot Noir,Lumos
US,90,24,New York,Billsboro 2012 Pinot Noir (Finger Lakes),Pinot Noir,Billsboro
US,88,24,Oregon,Spangler 2006 Pinot Noir (Columbia Gorge (OR)),Pinot Noir,Spangler
US,86,24,California,Schug 2008 Pinot Noir (Sonoma Coast),Pinot Noir,Schug
US,90,24,California,Brassfield 2013 High Serenity Ranch Vineyard Pinot Noir (High Valley),Pinot Noir,Brassfield
US,85,24,Oregon,Rex Hill 1999 Pinot Noir (Willamette Valley),Pinot Noir,Rex Hill
US,90,24,California,Ampelos 2009 Pinot Noir (Sta. Rita Hills),Pinot Noir,Ampelos
Austria,92,24,Thermenregion,Heinrich Hartl 2015 Classic Pinot Noir (Thermenregion),Pinot Noir,Heinrich Hartl
US,82,24,California,La Crema 2008 Pinot Noir (Sonoma Coast),Pinot Noir,La Crema
US,91,24,Oregon,Left Coast Cellars 2014 Cali's Cuvée Estate Grown Pinot Noir (Willamette Valley),Pinot Noir,Left Coast Cellars
US,89,24,California,Napa Cellars 2014 Classic Collection Pinot Noir (Napa Valley),Pinot Noir,Napa Cellars
US,89,24,Oregon,Oak Knoll 2006 Red Hill Vineyard Pinot Noir (Oregon),Pinot Noir,Oak Knoll
France,88,24,Loire Valley,Xavier Flouret 2006 Domaine de Châtenoy Rouge Noir  (Menetou-Salon),Pinot Noir,Xavier Flouret
Chile,86,24,Leyda Valley,Montes 2007 Alpha Pinot Noir (Leyda Valley),Pinot Noir,Montes
US,89,24,Oregon,Patton Valley 2013 Pinot Noir (Willamette Valley),Pinot Noir,Patton Valley
US,89,24,California,Balletto 2007 Estate Bottled Pinot Noir (Russian River Valley),Pinot Noir,Balletto
US,86,24,Oregon,Macindoe 2009 Pinot Noir (Willamette Valley),Pinot Noir,Macindoe
US,87,24,California,Three Saints 2008 Pinot Noir (Santa Maria Valley),Pinot Noir,Three Saints
France,90,24,Burgundy,Bailly-Lapierre NV Brut  (Crémant de Bourgogne),Pinot Noir,Bailly-Lapierre
France,87,24,Loire Valley,Chavet Fils 2013 Cuvée Exception  (Menetou-Salon),Pinot Noir,Chavet Fils
US,88,24,Oregon,Atticus 2006 Pinot Noir (Willamette Valley),Pinot Noir,Atticus
Austria,87,24,Burgenland,Juris 2007 Selection Pinot Noir (Burgenland),Pinot Noir,Juris
US,90,24,California,Brassfield 2013 High Serenity Ranch Vineyard Pinot Noir (High Valley),Pinot Noir,Brassfield
US,86,24,California,McFadden 2012 Estate Grown Organically Grown Grapes Pinot Noir (Potter Valley),Pinot Noir,McFadden
US,92,24,California,Alta Maria 2013 Carbonic Pinot Noir (Santa Maria Valley),Pinot Noir,Alta Maria
US,87,24,Oregon,Deer Creek 2014 Pinot Noir (Rogue Valley),Pinot Noir,Deer Creek
US,88,24,Oregon,Left Coast Cellars 2004 Cali's Cuvée Pinot Noir (Willamette Valley),Pinot Noir,Left Coast Cellars
US,89,24,Oregon,David Hill 2014 Estate Pinot Noir (Willamette Valley),Pinot Noir,David Hill
US,89,24,Oregon,Franchere 2015 Pinot Noir (Eola-Amity Hills),Pinot Noir,Franchere
US,87,24,California,Schug 2009 Pinot Noir (Sonoma Coast),Pinot Noir,Schug
US,85,24,California,Schug 2010 Pinot Noir (Sonoma Coast),Pinot Noir,Schug
US,88,24,California,McFadden 2015 Blue Quail Pinot Noir (Potter Valley),Pinot Noir,McFadden
US,86,24,California,Bianchi 2007 Signature Selection Pinot Noir (Edna Valley),Pinot Noir,Bianchi
Germany,89,24,Rheinhessen,Louis Guntrum 2012 Pinot Noir (Rheinhessen),Pinot Noir,Louis Guntrum
US,87,24,California,MacMurray Ranch 2005 Pinot Noir (Sonoma Coast),Pinot Noir,MacMurray Ranch
New Zealand,92,24,Awatere Valley,Eradus 2015 Single Vineyard Pinot Noir (Awatere Valley),Pinot Noir,Eradus
US,87,24,Oregon,Silvan Ridge 2012 Pinot Noir (Willamette Valley),Pinot Noir,Silvan Ridge
US,89,24,Oregon,Iris Vineyards 2014 Pinot Noir (Oregon),Pinot Noir,Iris Vineyards
US,84,24,California,Redwood Empire 2014 Pinot Noir (Sonoma Coast),Pinot Noir,Redwood Empire
France,85,24,Burgundy,L. Tramier & Fils 2015 Collection  (Bourgogne Hautes Côtes de Beaune),Pinot Noir,L. Tramier & Fils
US,87,24,California,Festival and Feast 2013 Rosé of Pinot Noir (Sonoma County),Pinot Noir,Festival and Feast
New Zealand,88,24,Marlborough,Tohu 2013 Single Vineyard Pinot Noir (Marlborough),Pinot Noir,Tohu
US,91,24,California,Bouchaine 2016 Vin Gris of Pinot Noir (Carneros),Pinot Noir,Bouchaine
US,85,24,Oregon,Silvan Ridge 2011 Pinot Noir (Willamette Valley),Pinot Noir,Silvan Ridge
France,86,24,Burgundy,Château Philippe-le-Hardi 2010 La Brigadière Vieilles Vignes  (Mercurey),Pinot Noir,Château Philippe-le-Hardi
US,87,24,New York,Treleaven 2013 Estate Bottled Pinot Noir (Cayuga Lake),Pinot Noir,Treleaven
US,87,24,California,Calera 2009 Pinot Noir (Central Coast),Pinot Noir,Calera
US,86,24,California,Fort Ross 2012 Rosé Pinot Noir (Fort Ross-Seaview),Pinot Noir,Fort Ross
US,86,24,California,Chalone Vineyard 2012 Gavilan Pinot Noir (Chalone),Pinot Noir,Chalone Vineyard
US,87,24,Oregon,Redhawk 2010 Estate Pinot Noir (Willamette Valley),Pinot Noir,Redhawk
France,86,24,Burgundy,Manuel Olivier 2009 Vieilles Vignes  (Hautes Côtes de Nuits),Pinot Noir,Manuel Olivier
New Zealand,86,24,Marlborough,Spy Valley 2008 Satellite Pinot Noir (Marlborough),Pinot Noir,Spy Valley
US,89,24,Oregon,Atticus 2005 Pinot Noir (Willamette Valley),Pinot Noir,Atticus
US,87,24,New York,Hazlitt 1852 Vineyards 2010 Pinot Noir (Finger Lakes),Pinot Noir,Hazlitt 1852 Vineyards
US,86,24,California,J. Wilkes 2009 Pinot Noir (Santa Maria Valley),Pinot Noir,J. Wilkes
US,86,24,Oregon,Left Coast Cellars 2009 Cali's Cuvée Pinot Noir (Willamette Valley),Pinot Noir,Left Coast Cellars
US,87,24,California,Domaine Carneros 2007 Avant-Garde Pinot Noir (Carneros),Pinot Noir,Domaine Carneros
US,88,24,California,Artesa 2008 Pinot Noir (Carneros),Pinot Noir,Artesa
US,85,24,California,Zepaltas 2014 Risuena Pinot Noir (Sonoma Coast),Pinot Noir,Zepaltas
US,88,24,Oregon,Oak Knoll 2015 White Pinot Noir (Willamette Valley),Pinot Noir,Oak Knoll
US,85,24,Oregon,Gothic 2013 Nevermore Pinot Noir (Willamette Valley),Pinot Noir,Gothic
US,90,24,California,Fort Ross 2009 Sea Slopes Fort Ross Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Fort Ross
US,86,24,California,De Loach 2007 Pinot Noir (Russian River Valley),Pinot Noir,De Loach
US,83,24,Oregon,Tangley Oaks 2014 Lot #25 Pinot Noir (Willamette Valley),Pinot Noir,Tangley Oaks
US,82,24,Oregon,Bradley 2013 Pinot Noir (Elkton Oregon),Pinot Noir,Bradley
US,83,24,California,Garnet Vineyards 2014 Pinot Noir (Sonoma Coast),Pinot Noir,Garnet Vineyards
Chile,86,24,Leyda Valley,Ventisquero 2013 Grey Glacier Pinot Noir (Leyda Valley),Pinot Noir,Ventisquero
US,85,24,Oregon,Left Coast Cellars 2008 Cali's Cuvée Pinot Noir (Willamette Valley),Pinot Noir,Left Coast Cellars
US,88,24,Oregon,Left Coast Cellars 2015 White Pinot Noir (Willamette Valley),Pinot Noir,Left Coast Cellars
France,84,24,Burgundy,L. Tramier & Fils 2010  Hautes Côtes de Nuits,Pinot Noir,L. Tramier & Fils
France,90,24,Alsace,Hugel 2013 Classic Pinot Noir (Alsace),Pinot Noir,Hugel
US,84,24,California,Simi 2011 Pinot Noir (Sonoma County),Pinot Noir,Simi
US,90,24,California,Santa Barbara Winery 2011 Pinot Noir (Sta. Rita Hills),Pinot Noir,Santa Barbara Winery
US,85,24,California,Dawn's Dream 2009 Pinot Noir (Carmel Valley),Pinot Noir,Dawn's Dream
France,89,24,Burgundy,Joseph Drouhin 2010  Côte de Beaune-Villages,Pinot Noir,Joseph Drouhin
US,85,24,Oregon,Longplay 2009 Lia's Vineyard Pinot Noir (Chehalem Mountains),Pinot Noir,Longplay
US,87,24,California,Sonoma Cuvée 2006 Pinot Noir (Russian River Valley),Pinot Noir,Sonoma Cuvée
US,88,24,Oregon,Seven of Hearts 2008 Pinot Noir (Willamette Valley),Pinot Noir,Seven of Hearts
US,87,24,California,Tolosa 2014 Estate Rosé of Pinot Noir (Edna Valley),Pinot Noir,Tolosa
US,88,24,Oregon,Torii Mor 2010 Pinot Noir (Oregon),Pinot Noir,Torii Mor
US,91,24,California,Calera 2008 Pinot Noir (Central Coast),Pinot Noir,Calera
France,91,24,Burgundy,Bailly-Lapierre NV Pinot Noir Brut  (Crémant de Bourgogne),Pinot Noir,Bailly-Lapierre
Australia,87,24,Tasmania,Josef Chromy 2010 Pepik Pinot Noir (Tasmania),Pinot Noir,Josef Chromy
US,88,24,California,Festival and Feast 2012 Rosé of Pinot Noir (Sonoma County),Pinot Noir,Festival and Feast
New Zealand,85,23,Marlborough,Konrad 2006 Pinot Noir (Marlborough),Pinot Noir,Konrad
Chile,86,23,Bío Bío Valley,Bodega Volcanes de Chile 2013 Tectonia Pinot Noir (Bío Bío Valley),Pinot Noir,Bodega Volcanes de Chile
US,87,23,California,Sanford 2013 Flor de Campo Pinot Noir (Central Coast),Pinot Noir,Sanford
France,87,23,Burgundy,Pierre Gruber 2014  Bourgogne Hautes Côtes de Nuits,Pinot Noir,Pierre Gruber
US,87,23,California,Ghost Pines 2014 Winemaker's Blend Pinot Noir (California),Pinot Noir,Ghost Pines
US,87,23,Oregon,Stanton Vineyard 2012 Pinot Noir (Willamette Valley),Pinot Noir,Stanton Vineyard
US,86,23,California,MacMurray Ranch 2012 Pinot Noir (Central Coast),Pinot Noir,MacMurray Ranch
US,86,23,California,Pali 2012 Huntington Pinot Noir (Santa Barbara County),Pinot Noir,Pali
New Zealand,86,23,Marlborough,Momo 2010 Pinot Noir (Marlborough),Pinot Noir,Momo
US,90,23,New York,Millbrook 2015 Pinot Noir (New York),Pinot Noir,Millbrook
US,90,23,California,Kessler-Haak 2013 Rosé of Pinot Noir (Sta. Rita Hills),Pinot Noir,Kessler-Haak
New Zealand,85,23,Central Otago,Mt. Difficulty 2009 Roaring Meg Pinot Noir (Central Otago),Pinot Noir,Mt. Difficulty
France,87,23,Burgundy,Domaine Dominique Gruhier 2011 Côte de Grisey  (Bourgogne Epineuil),Pinot Noir,Domaine Dominique Gruhier
France,88,23,Burgundy,Joseph Drouhin 2010  Côte de Nuits-Villages,Pinot Noir,Joseph Drouhin
US,88,23,New York,Ravines 2009 Pinot Noir (Finger Lakes),Pinot Noir,Ravines
US,86,23,California,Ghost Pines 2013 Winemaker's Blend Pinot Noir (Sonoma County-Monterey County),Pinot Noir,Ghost Pines
Chile,89,23,Aconcagua Costa,Montes 2014 Alpha Pinot Noir (Aconcagua Costa),Pinot Noir,Montes
US,86,23,California,Manzoni 2014 Pedregal Vineyard Rose of Pinot Noir (San Benito County),Pinot Noir,Manzoni
New Zealand,86,23,Marlborough,Momo 2010 Pinot Noir (Marlborough),Pinot Noir,Momo
New Zealand,87,23,Marlborough,Staete Landt 2014 Map Maker Pinot Noir (Marlborough),Pinot Noir,Staete Landt
US,91,23,California,Ternion 2011 Pinot Noir (Santa Barbara County),Pinot Noir,Ternion
US,88,23,California,Pali 2012 Bluffs Pinot Noir (Russian River Valley),Pinot Noir,Pali
US,86,23,California,Kessler-Haak 2014 Rosé of Pinot Noir (Sta. Rita Hills),Pinot Noir,Kessler-Haak
France,85,23,Burgundy,Albert Bichot 2011  Savigny-lès-Beaune,Pinot Noir,Albert Bichot
France,88,23,Alsace,Pierre Sparr NV Brut Rosé Pinot Noir (Alsace),Pinot Noir,Pierre Sparr
New Zealand,83,23,Marlborough,Opawa 2014 Pinot Noir (Marlborough),Pinot Noir,Opawa
France,89,23,Loire Valley,Domaine Sautereau 2014 Côte de Reigny  (Sancerre),Pinot Noir,Domaine Sautereau
US,89,23,Oregon,Brigadoon 2015 Lylee Pinot Noir (Willamette Valley),Pinot Noir,Brigadoon
US,87,23,California,Manzoni 2015 Pedregal Vineyard Rose of Pinot Noir (San Benito County),Pinot Noir,Manzoni
US,87,23,California,Chesebro 2011 Cedar Lane Pinot Noir (Arroyo Seco),Pinot Noir,Chesebro
US,84,23,California,Taz 2007 Pinot Noir (Santa Barbara County),Pinot Noir,Taz
US,88,23,Oregon,Brooks 2015 Runaway Red Pinot Noir (Willamette Valley),Pinot Noir,Brooks
France,87,23,Alsace,Lucien Albrecht NV Brut Rosé Pinot Noir (Crémant d'Alsace),Pinot Noir,Lucien Albrecht
US,86,23,California,Babcock 2007 Rita's Earth Pinot Noir (Sta. Rita Hills),Pinot Noir,Babcock
France,86,23,Burgundy,Louis Max 2010 Clos la Marche  (Mercurey),Pinot Noir,Louis Max
US,83,23,Oregon,Cubanisimo Vineyards 2007 Estate Pinot Noir (Willamette Valley),Pinot Noir,Cubanisimo Vineyards
France,88,23,Loire Valley,Xavier Flouret 2008 Rouge Noir  (Menetou-Salon),Pinot Noir,Xavier Flouret
US,89,23,Oregon,Cubanisimo Vineyards 2013 Rosado de Pinot Noir (Willamette Valley),Pinot Noir,Cubanisimo Vineyards
Germany,91,23,Pfalz,August Kesseler 2012 N Pinot Noir (Pfalz),Pinot Noir,August Kesseler
US,88,23,Oregon,Machine Breaker 2014 We The People Pinot Noir (Willamette Valley),Pinot Noir,Machine Breaker
US,84,23,California,Sonoma Hills 2011 Pinot Noir (Russian River Valley),Pinot Noir,Sonoma Hills
US,86,23,Oregon,Fullerton 2014 Three Otters Pinot Noir (Willamette Valley),Pinot Noir,Fullerton
US,83,23,California,Ghost Pines 2012 Pinot Noir (Sonoma County-Monterey County),Pinot Noir,Ghost Pines
France,88,23,Loire Valley,Domaine Jean Teiller 2014  Menetou-Salon,Pinot Noir,Domaine Jean Teiller
US,86,23,California,La Crema 2015 Pinot Noir (Monterey),Pinot Noir,La Crema
France,85,23,Burgundy,Roche de Bellene 2011 Vieilles Vignes  (Bourgogne),Pinot Noir,Roche de Bellene
New Zealand,86,23,Marlborough,Konrad 2008 Pinot Noir (Marlborough),Pinot Noir,Konrad
New Zealand,86,23,Marlborough,Grove Mill 2007 Pinot Noir (Marlborough),Pinot Noir,Grove Mill
US,86,23,Oregon,Louloute 2015 Pinot Noir (Oregon),Pinot Noir,Louloute
US,86,23,California,Rock View 2012 Reserve Pinot Noir (Monterey County),Pinot Noir,Rock View
US,86,23,California,Babcock 2007 Rita's Earth Pinot Noir (Sta. Rita Hills),Pinot Noir,Babcock
South Africa,89,23,Elgin,Lothian Vineyards 2012 Pinot Noir (Elgin),Pinot Noir,Lothian Vineyards
US,87,23,Oregon,Stanton Vineyard 2012 Pinot Noir (Willamette Valley),Pinot Noir,Stanton Vineyard
US,87,23,California,Frei Brothers 2011 Reserve Pinot Noir (Russian River Valley),Pinot Noir,Frei Brothers
US,90,23,California,MacMurray Ranch 2014 Estate Vineyards Pinot Noir (Central Coast),Pinot Noir,MacMurray Ranch
US,87,23,California,Chesebro 2011 Cedar Lane Pinot Noir (Arroyo Seco),Pinot Noir,Chesebro
France,85,23,Alsace,Charles Sparr NV Brut Rosé Pinot Noir (Crémant d'Alsace),Pinot Noir,Charles Sparr
US,88,23,California,Testarossa 2015 Cuvée 107 Pinot Noir (Santa Lucia Highlands),Pinot Noir,Testarossa
US,87,23,California,River Road 2012 Stephanie's Cuvée Pinot Noir (Russian River Valley),Pinot Noir,River Road
France,87,23,Loire Valley,Xavier Flouret 2012 Domaine de Châtenoy Rouge Noir  (Menetou-Salon),Pinot Noir,Xavier Flouret
France,88,23,Burgundy,Domaine Ninot 2013 Chaponnière  (Rully),Pinot Noir,Domaine Ninot
US,90,23,California,Pali 2013 Huntington Pinot Noir (Santa Barbara County),Pinot Noir,Pali
Chile,84,23,Chile,Bota Box 2014 Pinot Noir (Chile),Pinot Noir,Bota Box
New Zealand,86,23,Wairau Valley,Wither Hills 2011 Pinot Noir (Wairau Valley),Pinot Noir,Wither Hills
US,88,23,Oregon,Brooks 2015 Runaway Red Pinot Noir (Willamette Valley),Pinot Noir,Brooks
France,88,23,Alsace,Cave de Ribeauvillé NV Giersberger Brut Rosé Pinot Noir (Alsace),Pinot Noir,Cave de Ribeauvillé
US,91,23,Oregon,Andrew Rich 2013 Prelude Pinot Noir (Willamette Valley),Pinot Noir,Andrew Rich
New Zealand,85,23,Marlborough,Opawa 2011 Pinot Noir (Marlborough),Pinot Noir,Opawa
US,87,23,California,Husch 2010 Pinot Noir (Anderson Valley),Pinot Noir,Husch
US,91,23,Oregon,Andrew Rich 2014 Prelude Pinot Noir (Willamette Valley),Pinot Noir,Andrew Rich
US,91,23,California,Ternion 2011 Pinot Noir (Santa Barbara County),Pinot Noir,Ternion
US,87,23,Oregon,Highland Springs 2009 Pinot Noir (Willamette Valley),Pinot Noir,Highland Springs
France,86,23,Alsace,Ruhlmann NV Harmonie Rosé Pinot Noir (Crémant d'Alsace),Pinot Noir,Ruhlmann
US,88,23,Oregon,Brigadoon 2014 Lylee Pinot Noir (Willamette Valley),Pinot Noir,Brigadoon
US,88,23,Oregon,Brigadoon 2014 Lylee Pinot Noir (Willamette Valley),Pinot Noir,Brigadoon
US,87,23,California,Husch 2010 Pinot Noir (Anderson Valley),Pinot Noir,Husch
France,87,23,Burgundy,Louis Max 2013 Côte Chalonnaise  (Bourgogne),Pinot Noir,Louis Max
New Zealand,89,23,Marlborough,Omaka Springs 2010 Falveys Vineyard Pinot Noir (Marlborough),Pinot Noir,Omaka Springs
New Zealand,86,23,Wairau Valley,Wither Hills 2011 Pinot Noir (Wairau Valley),Pinot Noir,Wither Hills
US,88,23,Oregon,Monte Ferro 2013 Bradley Vineyard Pinot Noir (Elkton Oregon),Pinot Noir,Monte Ferro
New Zealand,85,23,Marlborough,Momo 2011 Pinot Noir (Marlborough),Pinot Noir,Momo
France,85,23,Burgundy,Domaines Devillard 2011 Le Renard  (Bourgogne),Pinot Noir,Domaines Devillard
France,86,23,Burgundy,Louis Max 2010 Clos la Marche  (Mercurey),Pinot Noir,Louis Max
US,87,23,California,Don & Sons 2014 Signature Series Pinot Noir (Sonoma Coast),Pinot Noir,Don & Sons
New Zealand,87,23,Marlborough,Lake Chalice 2009 Pinot Noir (Marlborough),Pinot Noir,Lake Chalice
US,89,23,California,La Crema 2014 Pinot Noir (Monterey),Pinot Noir,La Crema
France,87,23,Burgundy,Domaines Devillard 2015 Le Renard  (Bourgogne),Pinot Noir,Domaines Devillard
New Zealand,86,23,Marlborough,Konrad 2008 Pinot Noir (Marlborough),Pinot Noir,Konrad
US,88,23,California,Spell 2016 Vin Gris of Pinot Noir (Sonoma County),Pinot Noir,Spell
France,84,23,Burgundy,Jaffelin 2010 Les Chapitres de Jaffelin  (Bourgogne),Pinot Noir,Jaffelin
US,87,23,California,Husch 2008 Pinot Noir (Anderson Valley),Pinot Noir,Husch
US,88,23,California,Spell 2016 Vin Gris of Pinot Noir (Sonoma County),Pinot Noir,Spell
US,91,23,California,Waxwing 2016 Blair Vineyard Rose of Pinot Noir (Arroyo Seco),Pinot Noir,Waxwing
US,86,23,California,Husch 2011 Pinot Noir (Anderson Valley),Pinot Noir,Husch
Germany,88,23,Rheingau,Carl Ehrhard 2014 Rüdesheim Pinot Sekt Pinot Noir (Rheingau),Pinot Noir,Carl Ehrhard
US,88,23,California,Waxwing 2014 Blair Vineyard Rosé of Pinot Noir (Arroyo Seco),Pinot Noir,Waxwing
Chile,89,23,Casablanca Valley,Viña Casablanca 2010 Nimbus Single Vineyard Pinot Noir (Casablanca Valley),Pinot Noir,Viña Casablanca
France,88,23,Burgundy,Domaine Ninot 2013 Chaponnière  (Rully),Pinot Noir,Domaine Ninot
France,87,23,Burgundy,Albert Bichot 2014 Sécret de la Famille  (Bourgogne),Pinot Noir,Albert Bichot
New Zealand,90,23,Marlborough,Tohu 2010 Single Vineyard Pinot Noir (Marlborough),Pinot Noir,Tohu
New Zealand,85,23,Central Otago,Mt. Difficulty 2009 Roaring Meg Pinot Noir (Central Otago),Pinot Noir,Mt. Difficulty
US,88,23,Oregon,Monte Ferro 2013 Bradley Vineyard Pinot Noir (Elkton Oregon),Pinot Noir,Monte Ferro
New Zealand,87,23,Marlborough,Staete Landt 2014 Map Maker Pinot Noir (Marlborough),Pinot Noir,Staete Landt
US,90,23,California,Sanford 2016 Rose of Pinot Noir (Sta. Rita Hills),Pinot Noir,Sanford
US,87,23,California,Testarossa 2012 Pinot Noir (Santa Lucia Highlands),Pinot Noir,Testarossa
New Zealand,87,23,Marlborough,Lake Chalice 2009 Pinot Noir (Marlborough),Pinot Noir,Lake Chalice
France,88,23,Alsace,Domaine Saint-Rémy 2014 Rosenberg Pinot Noir (Alsace),Pinot Noir,Domaine Saint-Rémy
US,86,23,California,Ghost Pines 2013 Winemaker's Blend Pinot Noir (Sonoma County-Monterey County),Pinot Noir,Ghost Pines
US,84,23,California,Ternion 2011 Pinot Noir (Central Coast),Pinot Noir,Ternion
Chile,86,23,Curicó and Maipo Valleys,Miguel Torres NV Cordillera Brut Pinot Noir (Curicó and Maipo Valleys),Pinot Noir,Miguel Torres
US,90,23,California,Sanford 2015 Estate Grown Rosé of Pinot Noir (Sta. Rita Hills),Pinot Noir,Sanford
New Zealand,86,23,Marlborough,Grove Mill 2007 Pinot Noir (Marlborough),Pinot Noir,Grove Mill
US,86,22,Oregon,Hawkins Cellars 2009 Pinot Noir (Willamette Valley),Pinot Noir,Hawkins Cellars
US,85,22,Oregon,Cherry Hill 2006 Papillon Estate Pinot Noir (Willamette Valley),Pinot Noir,Cherry Hill
France,85,22,Burgundy,Domaine Michel Goubard 2014 Mont-Avril  (Côte Chalonnaise),Pinot Noir,Domaine Michel Goubard
US,85,22,California,Carneros Creek 2006 Reserve Pinot Noir (Carneros),Pinot Noir,Carneros Creek
US,85,22,Pennsylvania,Chaddsford 2005 Barrel Select Pinot Noir (Pennsylvania),Pinot Noir,Chaddsford
US,87,22,California,Lane Tanner 2000 Pinot Noir (Santa Maria Valley),Pinot Noir,Lane Tanner
US,84,22,California,Sean Minor 2010 Pinot Noir (Carneros),Pinot Noir,Sean Minor
US,86,22,California,MacPhail 2014 Rosé of Pinot Noir (Sonoma Coast),Pinot Noir,MacPhail
US,87,22,California,Schug 2006 Pinot Noir (Sonoma Coast),Pinot Noir,Schug
US,87,22,Oregon,Coeur de Terre 2013 Oregon Pinot Noir (Willamette Valley),Pinot Noir,Coeur de Terre
US,86,22,Oregon,Willamette Valley Vineyards 2011 Whole Cluster Fermented Pinot Noir (Willamette Valley),Pinot Noir,Willamette Valley Vineyards
US,84,22,Oregon,3Fools 2008 Fools Gold Pinot Noir (Willamette Valley),Pinot Noir,3Fools
US,87,22,California,Siduri 2013 Pinot Noir (Sonoma County),Pinot Noir,Siduri
